Row Number,Company,Position Name,Location,Status,Job Description,Application Link,Number of Applicants,Industry,Salary
160,The Cigna Group,"Data Science Summer Intern - Start Date: May 20, 2024","Morris Plains, NJ",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/data-science-summer-intern-start-date-may-20-2024-at-the-cigna-group-3712840642?refId=OcEIDXMyI0MK1%2BprT2TEZw%3D%3D&trackingId=pnaa57NTuhQY4g32uUPgZg%3D%3D&position=14&pageNum=6&trk=public_jobs_jserp-result_search-card,,,0
161,National Institute of Standards and Technology (NIST),Student Trainee (Computer Science),"Washington, DC",3 weeks ago,INVALID LINK,https://www.linkedin.com/jobs/view/student-trainee-computer-science-at-national-institute-of-standards-and-technology-nist-3719370242?refId=OcEIDXMyI0MK1%2BprT2TEZw%3D%3D&trackingId=MmJbNetWOio5v%2FwbB63%2FMA%3D%3D&position=15&pageNum=6&trk=public_jobs_jserp-result_search-card,,,0
162,Procter & Gamble,Quality Assurance Intern,"Oxnard, CA",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/quality-assurance-intern-at-procter-gamble-3714005321?refId=OcEIDXMyI0MK1%2BprT2TEZw%3D%3D&trackingId=NmCF8PG7yzTy5r70OwDQEw%3D%3D&position=16&pageNum=6&trk=public_jobs_jserp-result_search-card,,,0
163,Aireon LLC,"Intern, Python Developer","McLean, VA",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/intern-python-developer-at-aireon-llc-3729416742?refId=OcEIDXMyI0MK1%2BprT2TEZw%3D%3D&trackingId=7z94xZLh%2FwzrTD5ukcRvlA%3D%3D&position=17&pageNum=6&trk=public_jobs_jserp-result_search-card,,,0
164,Bayer,Machine Learning Research Intern,United States,Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/machine-learning-research-intern-at-bayer-3702518159?refId=OcEIDXMyI0MK1%2BprT2TEZw%3D%3D&trackingId=o0vVSzbvHLMdCCegsAx5RQ%3D%3D&position=18&pageNum=6&trk=public_jobs_jserp-result_search-card,,,0
165,Expa,Analyst Intern,"Los Angeles, CA",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/analyst-intern-at-expa-3681588600?refId=OcEIDXMyI0MK1%2BprT2TEZw%3D%3D&trackingId=%2FCdzN3YLu1OgmMynJpPhSQ%3D%3D&position=19&pageNum=6&trk=public_jobs_jserp-result_search-card,,,0
166,PharmiWeb.jobs: Global Life Science Jobs,Senior Analytics Intern (Remote),"Durham, NC",Be an early applicant,"Company Overview

As a leading global contract research organization (CRO) with a passion for scientific rigor and decades of clinical development experience, Fortrea provides pharmaceutical, biotechnology, and medical device customers a wide range of clinical development, patient access and technology solutions across more than 20 therapeutic areas. With over 19,000 staff conducting operations in more than 90 countries, Fortrea is transforming drug and device development for partners and patients across the globe.

Fortrea is driving the innovation that advances healthcare solutions.

Fortrea brings together the innovation and agility of a new, global CRO backed by 30 years of experience to provide our customers comprehensive clinical development and commercialization services for biopharmaceutical products.




We are excited to offer a 12-week remote paid Senior Analytics Internship opportunity for individuals interested in gaining hands-on experience within the field of Analytics, Project Management, Business and Biology. As an intern, you will work closely with our experienced Analytics team to support various client engagement projects and contribute to the advancement of medical knowledge.


Exciting Opportunity to be part of the Fortrea 2024 Global Frontline Internship Program!

We offer real work assignments that compliment an education in STEM+ Healthcare disciplines, are challenging and recognized to the organization as valuable. In addition, we encourage professional development and career exploration through program workshops, each designed to help students prepare for a thriving career in our industry.




As an EOE/AA employer, Fortrea strives for diversity and inclusion in the workforce and does not tolerate harassment or discrimination of any kind. We make employment decisions based on the needs of our business and the qualifications of the individual and do not discriminate based upon race, religion, color, national origin, gender (including pregnancy or other medical conditions/needs), family or parental status, marital, civil union or domestic partnership status, sexual orientation, gender identity, gender expression, personal appearance, age, veteran status, disability, genetic information, or any other legally protected characteristic. We encourage all to apply.

For more information about how we collect and store your personal data, please see our Privacy Statement.
Show more",https://www.linkedin.com/jobs/view/senior-analytics-intern-remote-at-pharmiweb-jobs-global-life-science-jobs-3730799631?refId=OcEIDXMyI0MK1%2BprT2TEZw%3D%3D&trackingId=VPLGUI0KHvqqOiU0QW5rDw%3D%3D&position=20&pageNum=6&trk=public_jobs_jserp-result_search-card,25,"Industries
Staffing and Recruiting",0
167,University of Pennsylvania,"Data Scientist, Wharton Graduate Student Affairs","Philadelphia, PA",Actively Hiring,"University Overview

The University of Pennsylvania, the largest private employer in Philadelphia, is a world-renowned leader in education, research, and innovation. This historic, Ivy League school consistently ranks among the top 10 universities in the annual U.S. News & World Report survey. Penn has 12 highly-regarded schools that provide opportunities for undergraduate, graduate and continuing education, all influenced by Penn’s distinctive interdisciplinary approach to scholarship and learning. As an employer Penn has been ranked nationally on many occasions with the most recent award from Forbes who named Penn one of America’s Best Large Employers in 2023.

Penn offers a unique working environment within the city of Philadelphia. The University is situated on a beautiful urban campus, with easy access to a range of educational, cultural, and recreational activities. With its historical significance and landmarks, lively cultural offerings, and wide variety of atmospheres, Philadelphia is the perfect place to call home for work and play.

The University offers a competitive benefits package that includes excellent healthcare and tuition benefits for employees and their families, generous retirement benefits, a wide variety of professional development opportunities, supportive work and family benefits, a wealth of health and wellness programs and resources, and much more.


Data Scientist, Wharton Graduate Student Affairs



Wharton School Overview

Founded in 1881 as the world’s first collegiate business school, the Wharton School of the University of Pennsylvania is shaping the future of business by incubating ideas, driving insights, and creating leaders who change the world. With campuses in both Philadelphia and San Francisco, Wharton has over 850 staff, a faculty population of more than 235 renowned professors, and 5,000 undergraduate, MBA, executive MBA, and doctoral students. Each year 13,000 professionals from around the world advance their careers through Wharton Executive Education’s individual, company-customized, and online programs. More than 104,000 Wharton alumni form a powerful global network of leaders who transform business every day. Wharton is home to a diverse population of staff, representing a rich array of backgrounds, expertise, and cultures. To learn more, visit www.wharton.upenn.edu.


The Wharton MBA program is seeking a data scientist with at least 5 years of relevant professional experience, and with a background and strong interest in people analytics, decision science and/or social science, as well as deep technical expertise in data science and software engineering. The Data Scientist role will play an integral part in the development and execution of a variety of data science initiatives across Graduate Student Affairs at the Wharton School. Reporting to the Director of Data Science for Graduate Student Affairs, this position will work cross divisionally across admissions, career management, student life and financial aid for the full-time, Executive and Global MBA programs. Through the deployment of state-of-the-art analytics, machine learning, statistics and AI methodologies, this role will support the School’s mission in providing a personalized and student-centric student experience, and will harness the power of data science and technology to guide students to optimal outcomes.

The ideal candidate for this role will have experience working at the intersection of data science, people analytics and social science. This position requires expert technical skills and will apply machine learning, artificial intelligence and statistical methodologies to a wide variety of cross divisional data sets including academic, administrative and digital platform engagement data to develop new strategies for the division and to support and inform student success and engagement for the 21st century. The individual in this role is expected to have extensive experience working as a software engineer and as a quantitative researcher, and should be familiar with specific applications of data science techniques within people analytics and social science. This position will be responsible for the development of state of the art algorithms and decision support tools, and will advise division leadership on data-driven strategic initiatives. Specifically, methodologies will range across a subset of exploratory and inferential statistical analysis, machine learning, text mining, natural language processing, optimization techniques, data product development and data visualization. Will design and execute complex data models based upon business requirements and strategic needs.

A key component of this role is to communicate technical and quantitative concepts to a broad, non-technical audience, including senior management, and to train and provide technical support and thought partnership to colleagues. Also, the individual in this role will be responsible for collaborating with third party vendors in a technical, advisory and project management capacity as needed.

Additionally, this role is responsible for planning and leading, in close collaboration with Wharton Computing and cross-divisional stakeholders, data collection and data engineering initiatives that will support the long-term strategic vision of the division. This includes planning data warehousing initiatives, engaging with outside vendors to collect digital platform behavioral/clickstream data, as well as survey development.



Philadelphia, Pennsylvania


Wharton School


Salary offers are made based on the candidate’s qualifications, experience, skills, and education as they directly relate to the requirements of the position, as well as internal and market factors and grade profile.


Penn adheres to a policy that prohibits discrimination on the basis of race, color, sex, sexual orientation, gender identity, religion, creed, national or ethnic origin, citizenship status, age, disability, veteran status, or any other legally protected class.


Background check required after a conditional job offer is made. Consideration of the background check will be tailored to the requirements of the job.



Show more",https://www.linkedin.com/jobs/view/data-scientist-wharton-graduate-student-affairs-at-university-of-pennsylvania-3637543252?refId=OcEIDXMyI0MK1%2BprT2TEZw%3D%3D&trackingId=F1zuVQ6hMFe7fKL2XMRWmw%3D%3D&position=21&pageNum=6&trk=public_jobs_jserp-result_search-card,200,"Industries
Higher Education",0
168,SonyAI,AI Research Intern - Privacy & Security,"Florida, United States",3 months ago,INVALID LINK,https://www.linkedin.com/jobs/view/ai-research-intern-privacy-security-at-sonyai-3644113009?refId=OcEIDXMyI0MK1%2BprT2TEZw%3D%3D&trackingId=yrCxiYK2ElIOGF4IvvE%2FFA%3D%3D&position=22&pageNum=6&trk=public_jobs_jserp-result_search-card,,,0
169,"Futurewei Technologies, Inc.",Deep Learning Research Intern,"Santa Clara, CA",1 month ago,"About Us

With years of R&D history in Silicon Valley, Futurewei has a vision of an intelligent and connected world. As a well-funded independent research organization, we are committed to open-source development, fundamental research, and standards development.


We are looking for a talented researcher in deep learning to join our ASID team in Santa Clara.We are passionate about applied deep learning research to solve computer vision problems in image restoration, model acceleration, 3D and Nerf, ViT, CLIP, VAE and Diffusion models, as well as feature embedding, contrastive learning and multi-modal learning etc.






Hourly interns pay range: $18 to $59, depending on degree-seeking academic program (PhD, Master’s, Bachelor’s, etc.), years of relevant experience, year in school, geographic location, credentials, qualifications, and other job-related factors.

Housing allowance and relocation benefit might be provided to intern candidates who meet the qualifications. Additional details on the compensation package will be provided to candidates during the interview process .


All qualified applicants will receive consideration for employment without regard to race, color, gender, sexual orientation, gender identity or expression, religion, national origin, marital status, age, disability, veteran status, genetic information, or any other protected status under federal, state, and local laws.
Show more",https://www.linkedin.com/jobs/view/deep-learning-research-intern-at-futurewei-technologies-inc-3696020573?refId=OcEIDXMyI0MK1%2BprT2TEZw%3D%3D&trackingId=7KP%2BXn4ETI0busVJCXh3tQ%3D%3D&position=23&pageNum=6&trk=public_jobs_jserp-result_search-card,28,"Industries
Telecommunications",18
170,"Aerotech, Inc.",Analytics Intern,"Pittsburgh, PA",3 weeks ago,INVALID LINK,https://www.linkedin.com/jobs/view/analytics-intern-at-aerotech-inc-3719280467?refId=OcEIDXMyI0MK1%2BprT2TEZw%3D%3D&trackingId=UBV5tzIHUJEkchnS3IjEqQ%3D%3D&position=24&pageNum=6&trk=public_jobs_jserp-result_search-card,,,0
171,"U.S. Venture, Inc.",Data Analytics Engineer Intern - Breakthrough,"Green Bay, WI",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/data-analytics-engineer-intern-breakthrough-at-u-s-venture-inc-3712006347?refId=OcEIDXMyI0MK1%2BprT2TEZw%3D%3D&trackingId=7%2BYJTWzribsY%2F9m6GqvUIg%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card,,,0
172,"Futurewei Technologies, Inc.",Deep Learning Research Intern,"Santa Clara, CA",Be an early applicant,"About Us

With years of R&D history in Silicon Valley, Futurewei has a vision of an intelligent and connected world. As a well-funded independent research organization, we are committed to open-source development, fundamental research, and standards development.


We are looking for a talented researcher in deep learning to join our ASID team in Santa Clara.We are passionate about applied deep learning research to solve computer vision problems in image restoration, model acceleration, 3D and Nerf, ViT, CLIP, VAE and Diffusion models, as well as feature embedding, contrastive learning and multi-modal learning etc.






Hourly interns pay range: $18 to $59, depending on degree-seeking academic program (PhD, Master’s, Bachelor’s, etc.), years of relevant experience, year in school, geographic location, credentials, qualifications, and other job-related factors.

Housing allowance and relocation benefit might be provided to intern candidates who meet the qualifications. Additional details on the compensation package will be provided to candidates during the interview process .


All qualified applicants will receive consideration for employment without regard to race, color, gender, sexual orientation, gender identity or expression, religion, national origin, marital status, age, disability, veteran status, genetic information, or any other protected status under federal, state, and local laws.
Show more",https://www.linkedin.com/jobs/view/deep-learning-research-intern-at-futurewei-technologies-inc-3696018823?refId=kzBPNdoCZXKHpdTH6FlpmA%3D%3D&trackingId=39lw8akJnxVBU%2F8bXdEX8A%3D%3D&position=1&pageNum=7&trk=public_jobs_jserp-result_search-card,25,"Industries
Telecommunications",18
173,"Futurewei Technologies, Inc.",Deep Learning Research Intern,"Santa Clara, CA",Be an early applicant,"About Us

With years of R&D history in Silicon Valley, Futurewei has a vision of an intelligent and connected world. As a well-funded independent research organization, we are committed to open-source development, fundamental research, and standards development.


We are looking for a talented researcher in deep learning to join our ASID team in Santa Clara.We are passionate about applied deep learning research to solve computer vision problems in image restoration, model acceleration, 3D and Nerf, ViT, CLIP, VAE and Diffusion models, as well as feature embedding, contrastive learning and multi-modal learning etc.






Hourly interns pay range: $18 to $59, depending on degree-seeking academic program (PhD, Master’s, Bachelor’s, etc.), years of relevant experience, year in school, geographic location, credentials, qualifications, and other job-related factors.

Housing allowance and relocation benefit might be provided to intern candidates who meet the qualifications. Additional details on the compensation package will be provided to candidates during the interview process .


All qualified applicants will receive consideration for employment without regard to race, color, gender, sexual orientation, gender identity or expression, religion, national origin, marital status, age, disability, veteran status, genetic information, or any other protected status under federal, state, and local laws.
Show more",https://www.linkedin.com/jobs/view/deep-learning-research-intern-at-futurewei-technologies-inc-3696021427?refId=kzBPNdoCZXKHpdTH6FlpmA%3D%3D&trackingId=QP%2B%2BObp4BKEGgqI3CkdmtQ%3D%3D&position=2&pageNum=7&trk=public_jobs_jserp-result_search-card,25,"Industries
Telecommunications",18
174,Gallup,Data Science Intern — Summer 2024,"Omaha, NE",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/data-science-intern-%E2%80%94-summer-2024-at-gallup-3700504082?refId=kzBPNdoCZXKHpdTH6FlpmA%3D%3D&trackingId=mxSiNxxDB2wIjUUinUHDSw%3D%3D&position=3&pageNum=7&trk=public_jobs_jserp-result_search-card,,,0
175,Meketa Investment Group,Data Science Intern,"Westwood, CA",1 week ago,INVALID LINK,https://www.linkedin.com/jobs/view/data-science-intern-at-meketa-investment-group-3723362261?refId=kzBPNdoCZXKHpdTH6FlpmA%3D%3D&trackingId=fooX%2Fuv9fdQ50YDDEjlx5Q%3D%3D&position=4&pageNum=7&trk=public_jobs_jserp-result_search-card,,,0
176,Relativity Space,Data Science & Simulation Intern - Summer 2024,"Long Beach, CA",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/data-science-simulation-intern-summer-2024-at-relativity-space-3699687314?refId=kzBPNdoCZXKHpdTH6FlpmA%3D%3D&trackingId=cu18PEsRbCN0qY%2FAS8agKA%3D%3D&position=5&pageNum=7&trk=public_jobs_jserp-result_search-card,,,0
177,NextEra Energy Services,Data Science - College Intern (Gas Infrastructure),"Houston, TX",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/data-science-college-intern-gas-infrastructure-at-nextera-energy-services-3732147275?refId=kzBPNdoCZXKHpdTH6FlpmA%3D%3D&trackingId=rBthALD9DRnnglSjMwVTYw%3D%3D&position=6&pageNum=7&trk=public_jobs_jserp-result_search-card,,,0
178,Zoox,Security Data Visualization Internship/Co-op,"Foster City, CA",Be an early applicant,"As a Data Visualization Engineer Intern, you will work closely with our Corporate Security and Environmental Health and Safety teams to design, develop, and maintain data dashboards. These dashboards will provide key insights and visualizations to support decision-making and enhance the overall safety and security of our organization. This role offers a unique blend of technical expertise and collaboration with cross-functional teams.





The monthly salary range for this position is $5,500 to $7,500. Compensation will vary based on role, degree level and type, and benefits will be offered based on eligibility. Additional benefits may include medical insurance, 401k, and a housing stipend.


Employees working in this position will be required to have received a vaccine approved by the U.S. Food and Drug Administration and/or the World Health Organization. In addition, employees who are eligible for a COVID-19 booster vaccine (“Booster”) will be required to receive a Booster. Employees will be required to show proof of vaccination status upon receipt of a conditional offer of employment. That offer of employment will be conditioned upon, among other things, an Applicant’s ability to show proof of vaccination status. Please note the Company provides reasonable accommodations in accordance with applicable state, federal, and local laws.


Zoox is developing the first ground-up, fully autonomous vehicle fleet and the supporting ecosystem required to bring this technology to market. Sitting at the intersection of robotics, machine learning, and design, Zoox aims to provide the next generation of mobility-as-a-service in urban environments. We’re looking for top talent that shares our passion and wants to be part of a fast-moving and highly execution-oriented team.

Follow us on LinkedIn


Show more",https://www.linkedin.com/jobs/view/security-data-visualization-internship-co-op-at-zoox-3735214111?refId=kzBPNdoCZXKHpdTH6FlpmA%3D%3D&trackingId=0dfW6anupECmfjLwX%2BNf3g%3D%3D&position=7&pageNum=7&trk=public_jobs_jserp-result_search-card,25,"Industries
Automotive",0
179,"Swire Coca-Cola, USA","Intern, PowerBI Product Admin","Tempe, AZ",Actively Hiring,"Who is Swire Coca-Cola? We are one of the largest bottlers of Coca-Cola and other beverage brands in America. Our 7,200 hardworking and passionate employees produce and distribute more than 50 brands and flavors across 13 states. We have as many careers as we have flavors, and regardless of which role you choose, you have a direct impact on Swire Coca-Cola, our products, and the communities we call home.

Interns on our Information Technology team will be responsible for building/supporting/maintaining Data warehouse, Web Applications, Infrastructure, security and prioritizing work for the entire IT team. We are looking for business professionals who will partner with the IT team and business leaders in a long-established company, with iconic brand, and strong company culture which demonstrates that its people are highly valued.



This position is for a summer Internship from May 2024 – August 2024. This position is located in Tempe, AZ, and the internship will be full-time in office.









Swire Coca-Cola is an equal employment opportunity and affirmative action employer that participates in the E-Verify program as required by law. All qualified applicants will receive consideration for employment without regard race, color, religion, sex, sexual orientation, gender identity, national origin, disability, Veteran status or other legally protected characteristics.

Apply Now
Show more",https://www.linkedin.com/jobs/view/intern-powerbi-product-admin-at-swire-coca-cola-usa-3726854431?refId=kzBPNdoCZXKHpdTH6FlpmA%3D%3D&trackingId=igu3dbHK8dYvaRlRqtzAZg%3D%3D&position=8&pageNum=7&trk=public_jobs_jserp-result_search-card,48,"Industries
Food and Beverage Services",0
180,"Virtualitics, Inc.",AI Platform Engineer Intern (Los Angeles/Remote),"Pasadena, CA",Be an early applicant,"About Virtualitics

Virtualitics, Inc. is an advanced analytics company that helps enterprises and governments make smarter business decisions, faster with ready-to-use AI that can be understood–by analysts and business leaders alike. Our AI platform allows organizations to rapidly process complex data into powerful multi-dimensional graph visualizations, and predict future business outcomes with clear, explainable no-code AI modeling. Virtualitics puts AI into use across the enterprise with enhanced analytics that’s easily integrated into the flow of work. Our patented technology is based on over 11 years of research at the California Institute of Technology and NASA Jet Propulsion Laboratory.

The platform has been deployed across Department of Defense agencies, Federal Civilian agencies, and Fortune 500 companies. We're proud to have been recently named as one of the Air Force's ""big bets"" on emerging technology and Built In’s top companies to work for in 2022!

Our fast-growing team seeks a skilled, motivated and reliable to help grow our company.









We are a team of ambitious individuals who are passionate about creating a revolutionary software company. At Virtualitics, you will have a significant career development opportunity and a chance to contribute to one of the fastest-growing startups in Southern California.

Show more",https://www.linkedin.com/jobs/view/ai-platform-engineer-intern-los-angeles-remote-at-virtualitics-inc-3727285013?refId=kzBPNdoCZXKHpdTH6FlpmA%3D%3D&trackingId=7yDsFnlQUzPWLJ1kMprkbg%3D%3D&position=9&pageNum=7&trk=public_jobs_jserp-result_search-card,25,"Industries
Software Development",0
181,Geneva Trading,Intern - Data Engineer (C++/Python),"Chicago, IL",3 weeks ago,INVALID LINK,https://www.linkedin.com/jobs/view/intern-data-engineer-c%2B%2B-python-at-geneva-trading-3718992249?refId=kzBPNdoCZXKHpdTH6FlpmA%3D%3D&trackingId=w%2BicgJahnvZyai2rZSWacg%3D%3D&position=10&pageNum=7&trk=public_jobs_jserp-result_search-card,,,0
182,Moss & Associates (Construction),Interns and Entry-level; Operations Support 2023,"Fort Lauderdale, FL",Be an early applicant,"INTERNSHIPS AVALIABLE FOR FALL 2023 (Fort Lauderdale Office)

Are you looking to create the exceptional and hit the ground running? Moss is hiring top talent to join our internship program who exhibit entrepreneurial spirit and contagious energy. We are seeking ambitious individuals to works under the tutelage of the project team to drive and coordinate the various processes of Data Analytics.








Moss is a national privately held construction firm providing innovative solutions resulting in award-winning projects. With regional offices across the United States, Moss focuses on construction management, solar EPC, design-build, and public-private partnerships. The company’s diverse portfolio encompasses a wide range of sectors, including luxury high-rise residential, landmark mixed-use developments, hospitality, K-12 and higher education, justice, solar energy and battery storage, and sports. Moss is ranked by Engineering News-Record as one of the nation’s top 65 general contractors, and the 3rd ranked solar EPC nationwide. Moss prides itself on a strong entrepreneurial culture that honors safety, quality, client engagement and employee development. Its employees consistently rank Moss as one of the best places to work.

Powered by JazzHR

kz71FHF1WQ
Show more",https://www.linkedin.com/jobs/view/interns-and-entry-level-operations-support-2023-at-moss-associates-construction-3735221471?refId=kzBPNdoCZXKHpdTH6FlpmA%3D%3D&trackingId=eRnGUibc4yYrVZS5cTiHiA%3D%3D&position=11&pageNum=7&trk=public_jobs_jserp-result_search-card,25,"Industries
Internet Publishing",0
183,MJ Insurance,"Analyst Intern, Employee Benefits- Summer","Phoenix, AZ",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/analyst-intern-employee-benefits-summer-at-mj-insurance-3718224890?refId=kzBPNdoCZXKHpdTH6FlpmA%3D%3D&trackingId=yoV%2B6DDcGvHn0%2BcYWYe9KQ%3D%3D&position=12&pageNum=7&trk=public_jobs_jserp-result_search-card,,,0
184,Lansing Board of Water & Light,"Analytics Intern, WM","Lansing, MI",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/analytics-intern-wm-at-lansing-board-of-water-light-3727987557?refId=kzBPNdoCZXKHpdTH6FlpmA%3D%3D&trackingId=pvahEETx0SyytS%2BwHzoEKA%3D%3D&position=13&pageNum=7&trk=public_jobs_jserp-result_search-card,,,0
185,HealthFitness,Spring Internship,Quad Cities Metropolitan Area,Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/spring-internship-at-healthfitness-3731674837?refId=kzBPNdoCZXKHpdTH6FlpmA%3D%3D&trackingId=MJkV84MgJhMshShDohGSaQ%3D%3D&position=14&pageNum=7&trk=public_jobs_jserp-result_search-card,,,0
186,Hilltop Holdings,Quantitative Analytics Intern,"Dallas, TX",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/quantitative-analytics-intern-at-hilltop-holdings-3723307619?refId=kzBPNdoCZXKHpdTH6FlpmA%3D%3D&trackingId=kO4%2Bd3whPMO90ivlgbCZpA%3D%3D&position=15&pageNum=7&trk=public_jobs_jserp-result_search-card,,,0
187,Vanguard,Data Scientist Advanced Development Program Internship,"Charlotte, NC",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/data-scientist-advanced-development-program-internship-at-vanguard-3683041731?refId=kzBPNdoCZXKHpdTH6FlpmA%3D%3D&trackingId=KpYYG8Pm1tQaVvslvaowxw%3D%3D&position=16&pageNum=7&trk=public_jobs_jserp-result_search-card,,,0
188,City Parks Foundation,Seeds to Trees Seasonal Intern,"New York, United States",Be an early applicant,"Position Summary

City Parks Foundation seeks college interns to work during the school year within

our Seeds to Trees Program. The mission of Seeds to Trees is to educate elementary and middle

school students about urban ecology, forest ecology, marine ecology, parks stewardship and

conservation using parks as outdoor classrooms. This program blends hands-on classroom

sessions and outdoor field experiences in parks or gardens, and offers professional development

for partner teachers.

The College Intern will assist Seeds to Trees staff to implement the program from October - December, starting

in the classroom and ending with field experiences. The Seeds to Trees College Intern reports to the Seeds to

Trees Program Manager and works closely with the part-time Educators.

October, 2023

December, 2023

$18 per hour






Benefits include excellent healthcare and dental package, vacation, paid holidays, 403(b) Retirement Plan and flexible spending plan. City Parks Foundation is a collegial, mission-focused organization that values its employees and encourages professional growth and advancement.


At City Parks Foundation (CPF), we are dedicated to invigorating and transforming New York City parks into dynamic, vibrant centers of urban life through arts, environmental education, sports, and community building programs for all New Yorkers. Our ethos is simple: we believe thriving parks mean thriving communities.

Community engagement includes Partnerships for Parks, a public-private program of City Parks Foundation and NYC Parks, which supports and champions a growing network of community leaders who care and advocate for the transformation of our neighborhood parks and the Parks and Open Space Partners-NYC coalition of conservancies and alliances. We also administer the NYC Green Fund, a regranting program for parks and open space nonprofits and grassroots organizations.

We produce SummerStage, the iconic free, outdoor performing arts festival in NYC, presenting world-class artists from across the globe and our own neighborhoods on our mainstage in Central Park and in local parks in all five boroughs, and our Swedish Cottage Marionette Theatre and roving PuppetMobile present marionette puppet theater throughout New York City.

We connect youngsters to nature in the urban environment through progressive, experiential teaching. Using parks as classrooms, we provide learning experiences and hands-on activities in urban forests, coastal areas, and gardens.

Free golf, tennis, track & field, soccer, and fitness programs bring high-quality instruction and equipment into areas where few organized athletic opportunities exist. We offer leveled training, year-round scholarship coaching, and special pro events.

Powered by JazzHR

JBqWTbTdOL
Show more",https://www.linkedin.com/jobs/view/seeds-to-trees-seasonal-intern-at-city-parks-foundation-3704301620?refId=kzBPNdoCZXKHpdTH6FlpmA%3D%3D&trackingId=PsKLrBve2Twy1XtppEjV4w%3D%3D&position=17&pageNum=7&trk=public_jobs_jserp-result_search-card,25,"Industries
Internet Publishing",18
189,Sodexo Live!,Intern – Data and Analytics @ SDCC,"San Diego, CA",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/intern-%E2%80%93-data-and-analytics-%40-sdcc-at-sodexo-live%21-3723969135?refId=kzBPNdoCZXKHpdTH6FlpmA%3D%3D&trackingId=H%2BDXRAZHczP5QsIrvHeiOQ%3D%3D&position=18&pageNum=7&trk=public_jobs_jserp-result_search-card,,,0
190,Lockheed Martin,Quality Engineer - Intern,"Pinellas Park, FL",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/quality-engineer-intern-at-lockheed-martin-3703746224?refId=kzBPNdoCZXKHpdTH6FlpmA%3D%3D&trackingId=6MdbqL%2F8hEOgSH%2B3xIvdlQ%3D%3D&position=19&pageNum=7&trk=public_jobs_jserp-result_search-card,,,0
191,Mitsubishi Electric Research Laboratories,Internship: Efficient/Green AI,"Cambridge, MA",1 month ago,INVALID LINK,https://www.linkedin.com/jobs/view/internship-efficient-green-ai-at-mitsubishi-electric-research-laboratories-3691557593?refId=kzBPNdoCZXKHpdTH6FlpmA%3D%3D&trackingId=reOiSRSVFzkndzA63tx15g%3D%3D&position=20&pageNum=7&trk=public_jobs_jserp-result_search-card,,,0
192,Collectively,"Intern, Analytics & Performance (Influencer Marketing)","New York, NY",2 weeks ago,INVALID LINK,https://www.linkedin.com/jobs/view/intern-analytics-performance-influencer-marketing-at-collectively-3726119878?refId=kzBPNdoCZXKHpdTH6FlpmA%3D%3D&trackingId=XXc8Pj1HI3mi6fdLUBZQSA%3D%3D&position=21&pageNum=7&trk=public_jobs_jserp-result_search-card,,,0
193,Energy Jobline,"2024 12-Month Internship Position, Data Scientist (Various Locations Available)","West Lafayette, IN",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/2024-12-month-internship-position-data-scientist-various-locations-available-at-energy-jobline-3723991028?refId=kzBPNdoCZXKHpdTH6FlpmA%3D%3D&trackingId=WwmnW9nzryJqhMc5llrPTw%3D%3D&position=22&pageNum=7&trk=public_jobs_jserp-result_search-card,,,0
194,Point72,"2024 Summer Internship - Data Scientist, Proprietary Research","New York, United States",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/2024-summer-internship-data-scientist-proprietary-research-at-point72-3684171458?refId=kzBPNdoCZXKHpdTH6FlpmA%3D%3D&trackingId=m6T9twmNzON2KTKtBS69JQ%3D%3D&position=23&pageNum=7&trk=public_jobs_jserp-result_search-card,,,0
195,Docugami,Data Science PhD Intern,"Kirkland, WA",4 months ago,INVALID LINK,https://www.linkedin.com/jobs/view/data-science-phd-intern-at-docugami-3641763317?refId=kzBPNdoCZXKHpdTH6FlpmA%3D%3D&trackingId=OdrKAzFBPB0BRrj%2BRp5DCw%3D%3D&position=24&pageNum=7&trk=public_jobs_jserp-result_search-card,,,0
196,Fulton,Data Analyst Intern,"Pulaski, NY",1 week ago,INVALID LINK,https://www.linkedin.com/jobs/view/data-analyst-intern-at-fulton-3728535154?refId=kzBPNdoCZXKHpdTH6FlpmA%3D%3D&trackingId=l8I33JFz5G94LVPiY6J24Q%3D%3D&position=25&pageNum=7&trk=public_jobs_jserp-result_search-card,,,0
